shipment_id,supplier,product,country,shipment_mode,scheduled_delivery_date,predicted_severe_delay_probability,risk_rank,review_flag,total_value_usd,top_prediction_contributors
ASN-33851,PHARMACY DIRECT,"Efavirenz 600mg, tablets, 30 Tabs",South Africa,Truck,2015-08-24,0.046153846153846156,979,0,9655.55,Not computed
ASN-33852,PHARMACY DIRECT,"Didanosine 250mg, delayed-release capsules, 30 Caps",South Africa,Truck,2015-08-24,0.046153846153846156,980,0,9314.46,Not computed
ASN-33568,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",Guyana,Air,2015-08-28,0.046153846153846156,981,0,30500.0,Not computed
ASN-33764,CIPLA LIMITED,"Abacavir 60mg, dispersible tablets, 60 Tabs",Nigeria,Air,2015-08-31,0.046153846153846156,982,0,3600.0,Not computed
DN-4347,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Rwanda,Air,2015-09-08,0.046153846153846156,983,0,12098.4,Not computed
DN-4334,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Zimbabwe,Truck,2015-09-09,0.046153846153846156,984,0,113871.8,Not computed
DN-4330,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, dispersible tablets, 60 Tabs",Rwanda,Air,2015-09-30,0.046153846153846156,985,0,145685.98,Not computed
DN-4335,SCMS from RDC,"Efavirenz 200mg, scored tablets, 90 Tabs",Zimbabwe,Truck,2015-12-31,0.046153846153846156,986,0,13782.6,Not computed
ASN-27581,HETERO LABS LIMITED,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Zimbabwe,Air Charter,2014-09-17,0.017567366248575682,987,0,217768.32,Not computed
ASN-23138,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Vietnam,Air,2014-01-06,0.0,988,0,1884.06,Not computed
