product_group,country,shipment_count,historical_shipped_quantity,quantity_variability,average_lead_time_days,p90_lead_time_days,lead_time_variability_days,severe_delay_rate,historical_safety_stock_scenario_units,risk_aware_replenishment_trigger
ARV,Malawi,4,500000,110569.55578578882,249.5,266.0,19.05255888325765,0.0,9829.29429440073,Standard historical variability
HRDT,Angola,4,2600,784.2193570679061,169.0,180.2,19.79898987322333,0.0,52.10393728243289,Standard historical variability
HRDT,Lesotho,4,4618,1334.8449348145275,52.25,107.10000000000002,57.81796145374434,0.0,158.1470131043899,Standard historical variability
HRDT,Sierra Leone,4,6400,1675.3109164172083,22.333333333333332,28.2,7.0945988845975885,0.0,76.77495575028908,Standard historical variability
ANTM,Haiti,3,14140,5658.023801057515,72.5,115.3,75.66042558696059,0.0,553.9358551567376,Standard historical variability
ARV,Angola,3,1320,69.2820323027551,86.0,106.8,36.76955262170047,0.0,36.04904647521159,Standard historical variability
ARV,Botswana,3,106397,3772.4483208300317,116.66666666666667,117.6,1.1547005383792526,0.0,514.9199809023886,Standard historical variability
ARV,Kenya,3,11870,169.21386861996075,,,,0.0,,Standard historical variability
ARV,Lebanon,3,936,112.6232658024087,,,,0.0,,Standard historical variability
HRDT,Benin,3,3104,695.1297241043094,29.0,31.8,3.4641016151377544,0.0,26.019125853328124,Standard historical variability
MRDT,Haiti,3,2166,1244.4786056819137,34.666666666666664,44.0,11.239810200058244,0.0,32.704959734867174,Standard historical variability
ACT,Côte d'Ivoire,2,120000,49497.474683058324,142.0,142.0,0.0,0.0,0.0,Standard historical variability
ANTM,Afghanistan,2,115,44.54772721475249,170.0,183.6,24.041630560342615,0.0,2.5395424553570694,Standard historical variability
ANTM,Côte d'Ivoire,2,152,90.50966799187809,52.5,68.9,28.991378028648448,0.0,3.685986116328738,Standard historical variability
ARV,Burkina Faso,2,165,81.31727983645297,91.0,99.8,15.556349186104045,0.0,2.9309841061021342,Standard historical variability
ARV,Senegal,2,200,0.0,46.0,46.0,,0.0,,Standard historical variability
HRDT,Kazakhstan,2,100,0.0,40.5,51.3,19.091883092036785,0.0,1.9678865654009372,Standard historical variability
HRDT,Kyrgyzstan,2,1000,0.0,136.5,175.3,68.58935777509511,0.0,37.29958895740617,Standard historical variability
ANTM,Ethiopia,1,32,,64.0,64.0,,0.0,,Standard historical variability
ARV,Belize,1,300,,,,,0.0,,Standard historical variability
HRDT,Guinea,1,50,,60.0,60.0,,0.0,,Standard historical variability
HRDT,Senegal,1,80,,47.0,47.0,,0.0,,Standard historical variability
